Database	TOTAL
Words	557561
total     2126634
Phon	Count	P(Phon)   	P(WI|Phon)	P(WF|Phon)	P(WM|Phon)	Mean(Phon)	SD(Phon)	QQ_25(Phon)	QQ_50(Phon)	QQ_75(Phon)	Mean(WI Phon)	SD(WI Phon)	QQ_25(WI Phon)	QQ_50(WI Phon)	QQ_75(WI Phon)	Mean(WF Phon)	SD(WF Phon)	QQ_25(WF Phon)	QQ_50(WF Phon)	QQ_75(WF Phon)	Mean(WM Phon)	SD(WM Phon)	QQ_25(WM Phon)	QQ_50(WM Phon)	QQ_75(WM Phon)	Mean(WS Phon)	SD(WS Phon)	QQ_25(WS Phon)	QQ_50(WS Phon)	QQ_75(WS Phon)
d	87566	4.117587e-02	7.790238e-01	2.022474e-02	1.981819e-01	4.908766e-02	2.883413e-02	3.000000e-02	4.000000e-02	6.000000e-02	5.114680e-02	3.010100e-02	3.000000e-02	4.000000e-02	6.000000e-02	4.230382e-02	1.940145e-02	3.000000e-02	3.500000e-02	5.000000e-02	4.178230e-02	2.262492e-02	3.000000e-02	3.000000e-02	5.000000e-02	4.164444e-02	2.465762e-02	3.000000e-02	3.000000e-02	4.000000e-02
e	3429	1.612407e-03	0.000000e+00	3.032954e-02	9.682123e-01	6.610090e-02	3.512695e-02	4.000000e-02	6.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9.682692e-02	7.875875e-02	5.000000e-02	7.000000e-02	1.200000e-01	6.510542e-02	3.239260e-02	4.000000e-02	6.000000e-02	8.000000e-02	8.800000e-02	3.346640e-02	8.000000e-02	8.000000e-02	1.200000e-01
f	55488	2.609194e-02	5.874243e-01	1.135741e-01	2.909818e-01	9.428472e-02	6.969514e-02	6.000000e-02	8.500000e-02	1.100000e-01	9.533318e-02	6.354755e-02	6.000000e-02	9.000000e-02	1.200000e-01	1.049040e-01	1.208922e-01	5.000000e-02	7.000000e-02	1.150000e-01	8.778150e-02	5.083285e-02	6.000000e-02	8.000000e-02	1.100000e-01	1.030562e-01	7.694247e-02	7.000000e-02	9.000000e-02	1.200000e-01
g	39928	1.877521e-02	6.241485e-01	1.139551e-02	3.641555e-01	5.412530e-02	2.835287e-02	3.000000e-02	5.000000e-02	7.000000e-02	5.778761e-02	2.962669e-02	3.000000e-02	5.000000e-02	7.000000e-02	4.553846e-02	2.346584e-02	3.000000e-02	4.000000e-02	5.000000e-02	4.811967e-02	2.497924e-02	3.000000e-02	4.000000e-02	6.000000e-02	5.083333e-02	2.906367e-02	3.000000e-02	3.500000e-02	6.000000e-02
h	28434	1.337042e-02	6.955757e-01	6.151087e-02	2.427376e-01	9.424253e-02	1.404361e-01	3.000000e-02	6.000000e-02	9.000000e-02	8.819477e-02	1.294284e-01	3.000000e-02	5.000000e-02	8.000000e-02	2.258865e-01	2.502484e-01	8.000000e-02	1.300000e-01	2.800000e-01	7.819915e-02	1.123610e-01	3.000000e-02	5.000000e-02	8.000000e-02	1.140000e-01	1.234099e-01	4.000000e-02	8.000000e-02	9.000000e-02
i	6691	3.146287e-03	0.000000e+00	2.945748e-01	7.054252e-01	8.318263e-02	6.160515e-02	4.000000e-02	6.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.444825e-01	7.454438e-02	9.000000e-02	1.300000e-01	1.900000e-01	5.758475e-02	2.890847e-02	4.000000e-02	4.000000e-02	7.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
j	22488	1.057446e-02	8.932764e-01	1.427428e-02	9.218250e-02	1.123083e-01	1.191204e-01	5.000000e-02	8.000000e-02	1.200000e-01	1.149574e-01	1.202744e-01	5.000000e-02	9.000000e-02	1.300000e-01	1.964642e-01	2.115110e-01	7.000000e-02	9.000000e-02	2.500000e-01	7.352629e-02	6.384829e-02	4.000000e-02	6.000000e-02	9.000000e-02	1.400000e-01	2.032732e-01	2.250000e-02	3.500000e-02	1.600000e-01
k	42534	2.000062e-02	3.349556e-01	2.845723e-01	3.801900e-01	7.671745e-02	4.045943e-02	5.000000e-02	7.000000e-02	1.000000e-01	8.719169e-02	3.663855e-02	6.000000e-02	9.000000e-02	1.100000e-01	7.063698e-02	4.674543e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.203760e-02	3.660344e-02	4.000000e-02	7.000000e-02	9.000000e-02	8.083333e-02	4.776045e-02	5.000000e-02	7.500000e-02	1.025000e-01
l	58655	2.758114e-02	9.821840e-02	1.998977e-01	7.018328e-01	7.599006e-02	1.112286e-01	4.000000e-02	5.000000e-02	8.000000e-02	7.382088e-02	9.399290e-02	4.000000e-02	6.000000e-02	8.000000e-02	9.894042e-02	1.345596e-01	4.000000e-02	6.000000e-02	1.100000e-01	6.974781e-02	1.050854e-01	3.000000e-02	5.000000e-02	7.000000e-02	2.000000e-01	1.652271e-01	1.050000e-01	1.200000e-01	2.550000e-01
m	89804	4.222823e-02	3.990134e-01	3.516213e-01	2.310253e-01	9.304941e-02	1.175184e-01	5.000000e-02	7.000000e-02	9.000000e-02	8.137413e-02	9.757890e-02	4.000000e-02	6.000000e-02	9.000000e-02	1.187063e-01	1.529916e-01	5.000000e-02	7.000000e-02	1.200000e-01	7.402672e-02	6.863100e-02	5.000000e-02	7.000000e-02	8.000000e-02	9.478457e-02	1.328930e-01	4.000000e-02	7.000000e-02	9.500000e-02
n	219613	1.032679e-01	1.223197e-01	4.934544e-01	3.682660e-01	6.522813e-02	5.254712e-02	3.000000e-02	5.000000e-02	8.000000e-02	6.388286e-02	6.528001e-02	3.000000e-02	5.000000e-02	7.000000e-02	7.119702e-02	5.680750e-02	3.000000e-02	5.000000e-02	8.000000e-02	5.781530e-02	3.926195e-02	3.000000e-02	5.000000e-02	7.000000e-02	6.203709e-02	5.109798e-02	3.000000e-02	5.000000e-02	7.000000e-02
o	12520	5.887238e-03	0.000000e+00	4.862620e-01	5.137380e-01	8.525720e-02	6.937379e-02	4.000000e-02	6.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9.283345e-02	8.275597e-02	4.000000e-02	5.000000e-02	1.200000e-01	7.808613e-02	5.273302e-02	5.000000e-02	6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
p	18458	8.679444e-03	2.468306e-01	2.373497e-01	5.156030e-01	7.009590e-02	3.957328e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.736940e-02	3.859013e-02	5.000000e-02	7.000000e-02	1.000000e-01	6.409381e-02	4.670221e-02	3.000000e-02	5.000000e-02	8.000000e-02	6.938216e-02	3.575077e-02	4.000000e-02	6.000000e-02	9.000000e-02	5.750000e-02	1.892969e-02	5.250000e-02	6.500000e-02	7.000000e-02
r	46229	2.173811e-02	1.009323e-01	1.208116e-01	7.782128e-01	5.236572e-02	2.911149e-02	3.000000e-02	4.000000e-02	7.000000e-02	5.736605e-02	3.245635e-02	4.000000e-02	5.000000e-02	7.000000e-02	3.710564e-02	3.048303e-02	3.000000e-02	3.000000e-02	3.000000e-02	5.408522e-02	2.767171e-02	3.000000e-02	5.000000e-02	7.000000e-02	7.000000e-02	5.656854e-02	5.000000e-02	7.000000e-02	9.000000e-02
s	128773	6.055250e-02	1.400138e-02	4.133786e-01	5.191150e-01	7.561682e-02	4.918097e-02	4.000000e-02	7.000000e-02	9.000000e-02	8.490294e-02	7.343713e-02	3.750000e-02	6.000000e-02	1.100000e-01	8.135990e-02	6.139120e-02	4.000000e-02	7.000000e-02	1.000000e-01	7.130161e-02	3.503441e-02	5.000000e-02	7.000000e-02	9.000000e-02	7.068287e-02	4.782641e-02	4.000000e-02	6.000000e-02	9.000000e-02
t	151346	7.116692e-02	1.756967e-01	2.762148e-01	5.472229e-01	7.834685e-02	1.009786e-01	4.000000e-02	5.000000e-02	8.000000e-02	6.623652e-02	7.512801e-02	3.000000e-02	5.000000e-02	8.000000e-02	1.162322e-01	1.592846e-01	4.000000e-02	6.000000e-02	1.200000e-01	6.308839e-02	5.468695e-02	3.000000e-02	5.000000e-02	8.000000e-02	9.339695e-02	1.120410e-01	5.000000e-02	7.000000e-02	9.000000e-02
u	3870	1.819777e-03	2.583979e-04	3.410853e-02	9.656330e-01	6.733333e-02	3.822648e-02	4.000000e-02	5.000000e-02	8.000000e-02	1.400000e-01	0.000000e+00	1.400000e-01	1.400000e-01	1.400000e-01	7.113636e-02	6.080124e-02	4.000000e-02	4.500000e-02	7.000000e-02	6.717956e-02	3.717137e-02	4.000000e-02	5.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
v	61981	2.914512e-02	7.226731e-01	3.226795e-04	2.653232e-01	5.110800e-02	2.903459e-02	3.000000e-02	4.000000e-02	6.000000e-02	5.040722e-02	3.102412e-02	3.000000e-02	4.000000e-02	6.000000e-02	6.900000e-02	3.891962e-02	4.500000e-02	6.000000e-02	9.000000e-02	5.295227e-02	2.166894e-02	4.000000e-02	5.000000e-02	6.000000e-02	5.207873e-02	4.245975e-02	3.000000e-02	4.000000e-02	6.000000e-02
x	26076	1.226163e-02	6.902899e-04	5.876668e-01	4.111060e-01	9.077257e-02	9.618607e-02	5.000000e-02	7.000000e-02	1.000000e-01	2.450000e-01	3.732410e-01	3.250000e-02	7.000000e-02	1.150000e-01	8.915462e-02	1.030352e-01	4.000000e-02	6.000000e-02	9.000000e-02	9.271177e-02	8.370896e-02	6.000000e-02	9.000000e-02	1.100000e-01	1.785714e-01	1.905703e-01	4.500000e-02	9.500000e-02	2.375000e-01
y	441	2.073700e-04	0.000000e+00	7.278912e-01	2.721088e-01	1.060884e-01	6.641600e-02	5.000000e-02	9.000000e-02	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.240031e-01	6.812858e-02	7.000000e-02	1.100000e-01	1.600000e-01	5.816667e-02	2.543680e-02	4.000000e-02	5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
z	42184	1.983604e-02	6.001565e-01	2.967950e-02	3.563673e-01	6.847015e-02	3.347013e-02	4.000000e-02	6.000000e-02	9.000000e-02	6.909389e-02	3.473560e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.736422e-02	4.042393e-02	5.000000e-02	7.000000e-02	9.000000e-02	6.704184e-02	3.001280e-02	4.000000e-02	6.000000e-02	8.000000e-02	5.909794e-02	4.011390e-02	3.000000e-02	5.000000e-02	7.000000e-02
