Database	TOTAL
e:        0 3.349611e-02 2.073877e-02 1.746876e-02 3.528172e-03 0*2 7.142395e-03 8.175032e-03 4.732914e-04 0*2 2.792419e-02 1.118689e-03 3.549685e-03 0*3 2.151325e-05 2.606329e-01 0*2 3.033368e-03 7.099370e-04 7.959901e-04 9.250693e-04 0 2.730030e-02 2.319127e-02 0 7.744767e-04 2.474023e-03 4.401609e-02 6.647591e-03 0 6.238840e-04 1.742573e-03 1.273584e-02 8.906483e-03 1.136975e-01 2.678183e-01 2.796722e-04 3.872384e-04 4.259622e-03 1.118689e-02 2.947314e-03 5.451455e-02 0 3.442119e-04 6.626078e-03 0*2 6.238840e-04 1.045544e-02 8.712864e-03
f         0 2.179203e-02 1.988140e-02 2.523478e-04 7.366751e-02 4.307937e-03 0 4.316949e-02 3.244471e-04 8.271598e-02 7.209938e-05 0 8.345501e-03 2.487428e-03 1.144577e-02 7.970583e-02 0*2 1.441987e-04 1.979127e-02 1.387912e-03 0 4.172751e-02 3.289533e-02 1.027416e-02 4.452135e-03 0 3.280520e-03 1.496062e-02 3.947440e-03 1.809694e-02 4.848681e-03 5.335352e-03 2.847924e-03 4.142108e-02 4.197985e-02 2.631627e-03 1.135565e-03 4.302529e-02 1.737594e-02 2.837110e-02 2.036807e-03 7.245985e-02 6.128444e-04 9.583806e-02 3.262496e-03 8.385155e-02 9.012423e-05 7.300060e-03 1.440185e-02 0 3.244471e-04 2.525280e-02 2.775825e-03 3.695091e-03
g         0 4.508114e-04 3.010669e-01 7.513526e-05 5.044079e-02 9.767581e-04 0 4.232619e-02 6.116009e-02 1.868363e-02 2.504507e-05 0 1.001803e-04 4.983970e-03 3.052995e-02 1.134542e-02 0*2 2.504507e-05 1.094470e-02 8.264875e-04 0 6.822279e-02 1.920958e-02 1.552795e-03 1.001803e-04 0 3.506312e-04 3.255862e-04 1.928471e-03 1.011571e-01 1.753156e-04 2.053697e-03 1.753156e-04 5.009015e-04 1.492687e-02 2.504509e-04 2.254057e-03 4.813665e-02 1.277299e-03 5.384693e-03 2.830094e-03 2.254057e-04 5.009017e-05 5.299539e-02 2.754960e-04 1.252254e-04 1.302344e-03 1.397265e-01 2.504509e-04 0*2 2.254057e-04 5.009017e-05 0
h         0 7.527523e-03 2.462274e-03 0 1.080235e-01 3.517535e-05 0 4.970277e-02 6.718492e-03 6.648140e-03 2.652221e-02 0 1.195962e-03 2.462275e-04 1.459777e-02 7.386822e-04 0*2 3.348693e-02 0 1.125611e-03 0 2.062331e-01 2.219213e-01 4.724049e-02 4.052200e-02 0 2.110521e-03 4.537619e-03 1.055261e-04 1.417567e-02 8.793837e-04 1.969820e-03 7.738577e-04 7.035073e-05 3.686377e-02 1.477364e-03 1.160787e-03 6.683316e-04 2.353231e-02 4.928067e-02 4.512997e-02 3.098948e-02 4.924550e-04 2.814029e-04 1.160787e-03 7.738577e-04 1.055261e-04 2.638151e-03 4.115516e-03 0*2 4.572796e-04 1.195962e-03 1.055261e-04
i         0 8.025706e-02 1.345091e-03 7.472723e-04 1.195636e-03 0*2 9.415634e-03 0 7.472723e-04 0*2 1.913017e-02 3.586909e-03 8.668362e-03 0*7 1.240472e-02 6.725451e-03 1.345091e-03 6.725451e-03 0 2.196981e-02 4.692871e-02 0 5.978178e-04 2.809745e-02 1.599163e-02 1.733672e-02 0 2.989089e-04 3.138544e-03 1.599163e-02 3.462860e-01 1.778508e-02 8.982216e-02 9.714541e-03 2.540727e-03 1.076073e-02 3.781199e-02 3.437452e-03 7.039306e-02 1.494545e-04 2.989089e-04 4.379017e-02 0*2 2.989089e-04 2.271708e-02 4.154835e-02
i:        0 2.245435e-02 1.728672e-03 2.022914e-03 2.519448e-03 0*2 6.767567e-03 1.416040e-03 6.988248e-04 0*2 8.496239e-03 8.404289e-03 4.064219e-03 0*3 3.678026e-05 2.953087e-01 0*2 7.116979e-03 2.078085e-03 2.225206e-03 2.832079e-03 0 2.633466e-02 8.556927e-02 0 3.034372e-03 2.495540e-02 2.946098e-02 6.896299e-03 0 1.360870e-03 2.813690e-03 1.496957e-02 3.387461e-02 4.180076e-02 1.743936e-01 1.839012e-05 5.517039e-04 2.642661e-02 2.057855e-02 1.309377e-02 4.262832e-02 0 4.781434e-04 3.175975e-02 0*2 7.356052e-04 4.768560e-02 2.409107e-03
j         0 2.757149e-03 1.240717e-02 0 8.751724e-02 7.559922e-04 0 3.112910e-04 0 7.070752e-03 0*2 4.447013e-04 4.447013e-05 5.025125e-03 1.334105e-04 0*2 4.891715e-04 1.334105e-04 8.894030e-05 0 4.909503e-02 6.895095e-01 1.423044e-03 6.092408e-03 0 4.447013e-05 0 7.115221e-04 2.445857e-02 1.334105e-04 4.447013e-05 2.223507e-04 0 8.894030e-05 4.447013e-05 0*2 3.112910e-04 2.223507e-04 7.248633e-03 1.747676e-02 4.447013e-05*2 0 1.200694e-03 2.179037e-03 8.151375e-02 5.781118e-04 0*2 4.447013e-05*3
k         0 6.446985e-02 3.798570e-02 1.176028e-03 1.013736e-02 9.878633e-04 0 1.731113e-02 6.844482e-03 6.004798e-02 1.411234e-04 0 1.477091e-02 3.998495e-03 3.805626e-02 5.292126e-03 0*2 8.702608e-04 2.893029e-03 9.504657e-02 0 8.154577e-02 1.378305e-02 3.624518e-02 7.197291e-03 0 7.032645e-03 4.196067e-02 2.352056e-05 4.330134e-02 3.161163e-02 6.750399e-03 1.679368e-02 1.034905e-03 1.996895e-02 2.093330e-03 4.092577e-03 6.282341e-02 1.359488e-02 1.519428e-02 2.845988e-03 4.915797e-03 3.198796e-03 1.740521e-02 9.671654e-02 5.659046e-02 6.350551e-04 4.586508e-03 1.978079e-02 2.352056e-05 0 7.761785e-04 6.303508e-03 2.114498e-02
l         0 4.024694e-02 4.041748e-02 9.209045e-03 4.418637e-02 2.626284e-03 0 9.768408e-02 3.410759e-05 9.908250e-03 5.235512e-03 0 1.495617e-02 5.644805e-03 1.086326e-02 1.620110e-03 0*2 2.131723e-03 1.255159e-02 3.240219e-04 0 4.509021e-02 4.495378e-02 8.919131e-02 2.210171e-02 0 1.952658e-02 2.273270e-02 3.598349e-03 3.243630e-02 3.968416e-02 8.970291e-03 6.292847e-03 1.773594e-02 3.903613e-02 9.925302e-03 6.565707e-03 2.950305e-03 1.790648e-02 3.704082e-02 5.354889e-03 1.366008e-02 1.243221e-02 2.336369e-03 1.761656e-02 6.782291e-02 1.398410e-03 1.874211e-02 1.354071e-02 1.705379e-05 1.364303e-04 4.672738e-03 6.884614e-02 1.004468e-02
m         0 5.919441e-02 2.492982e-02 6.126633e-04 2.017333e-02 6.015239e-04 0 1.127412e-01 1.113933e-05 9.858310e-03 2.227865e-05 0 1.498240e-02 5.859288e-03 2.893998e-02 2.251259e-02 0*2 1.062692e-02 2.549793e-02 1.371252e-02 0 7.611505e-02 5.193156e-02 4.900192e-02 4.723075e-03 0 2.800428e-02 2.555363e-02 4.901306e-04 1.003654e-02 3.594662e-02 6.761574e-03 1.155148e-02 6.093213e-03 1.000980e-01 8.231967e-03 6.327138e-03 5.736755e-03 4.748697e-02 1.880319e-02 4.444592e-03 1.998396e-02 4.879026e-03 2.149891e-03 1.071603e-02 3.511117e-02 2.717996e-03 3.308382e-03 3.124582e-02 3.341798e-05 4.455733e-05 1.392417e-03 2.685692e-02 1.394644e-02
