Database	TOTAL
Words	557561
total     2056487
Phon	Count	P(Phon)   	P(WI|Phon)	P(WF|Phon)	P(WM|Phon)	Mean(Phon)	SD(Phon)	QQ_25(Phon)	QQ_50(Phon)	QQ_75(Phon)	Mean(WI Phon)	SD(WI Phon)	QQ_25(WI Phon)	QQ_50(WI Phon)	QQ_75(WI Phon)	Mean(WF Phon)	SD(WF Phon)	QQ_25(WF Phon)	QQ_50(WF Phon)	QQ_75(WF Phon)	Mean(WM Phon)	SD(WM Phon)	QQ_25(WM Phon)	QQ_50(WM Phon)	QQ_75(WM Phon)	Mean(WS Phon)	SD(WS Phon)	QQ_25(WS Phon)	QQ_50(WS Phon)	QQ_75(WS Phon)
m	89804	4.366864e-02	3.990134e-01	3.516213e-01	2.310253e-01	9.304941e-02	1.175184e-01	5.000000e-02	7.000000e-02	9.000000e-02	8.137413e-02	9.757890e-02	4.000000e-02	6.000000e-02	9.000000e-02	1.187063e-01	1.529916e-01	5.000000e-02	7.000000e-02	1.200000e-01	7.402672e-02	6.863100e-02	5.000000e-02	7.000000e-02	8.000000e-02	9.478457e-02	1.328930e-01	4.000000e-02	7.000000e-02	9.500000e-02
n	219613	1.067904e-01	1.223197e-01	4.934544e-01	3.682660e-01	6.522813e-02	5.254712e-02	3.000000e-02	5.000000e-02	8.000000e-02	6.388286e-02	6.528001e-02	3.000000e-02	5.000000e-02	7.000000e-02	7.119702e-02	5.680750e-02	3.000000e-02	5.000000e-02	8.000000e-02	5.781530e-02	3.926195e-02	3.000000e-02	5.000000e-02	7.000000e-02	6.203709e-02	5.109798e-02	3.000000e-02	5.000000e-02	7.000000e-02
o	12516	6.086107e-03	0.000000e+00	4.864174e-01	5.135826e-01	8.524769e-02	6.936055e-02	4.000000e-02	6.000000e-02	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9.283345e-02	8.275597e-02	4.000000e-02	5.000000e-02	1.200000e-01	7.806316e-02	5.268427e-02	5.000000e-02	6.000000e-02	9.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
p	18458	8.975500e-03	2.468306e-01	2.373497e-01	5.156030e-01	7.009590e-02	3.957328e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.736940e-02	3.859013e-02	5.000000e-02	7.000000e-02	1.000000e-01	6.409381e-02	4.670221e-02	3.000000e-02	5.000000e-02	8.000000e-02	6.938216e-02	3.575077e-02	4.000000e-02	6.000000e-02	9.000000e-02	5.750000e-02	1.892969e-02	5.250000e-02	6.500000e-02	7.000000e-02
r	46229	2.247960e-02	1.009323e-01	1.208116e-01	7.782128e-01	5.236572e-02	2.911149e-02	3.000000e-02	4.000000e-02	7.000000e-02	5.736605e-02	3.245635e-02	4.000000e-02	5.000000e-02	7.000000e-02	3.710564e-02	3.048303e-02	3.000000e-02	3.000000e-02	3.000000e-02	5.408522e-02	2.767171e-02	3.000000e-02	5.000000e-02	7.000000e-02	7.000000e-02	5.656854e-02	5.000000e-02	7.000000e-02	9.000000e-02
s	128773	6.261795e-02	1.400138e-02	4.133786e-01	5.191150e-01	7.561682e-02	4.918097e-02	4.000000e-02	7.000000e-02	9.000000e-02	8.490294e-02	7.343713e-02	3.750000e-02	6.000000e-02	1.100000e-01	8.135990e-02	6.139120e-02	4.000000e-02	7.000000e-02	1.000000e-01	7.130161e-02	3.503441e-02	5.000000e-02	7.000000e-02	9.000000e-02	7.068287e-02	4.782641e-02	4.000000e-02	6.000000e-02	9.000000e-02
t	151346	7.359444e-02	1.756967e-01	2.762148e-01	5.472229e-01	7.834685e-02	1.009786e-01	4.000000e-02	5.000000e-02	8.000000e-02	6.623652e-02	7.512801e-02	3.000000e-02	5.000000e-02	8.000000e-02	1.162322e-01	1.592846e-01	4.000000e-02	6.000000e-02	1.200000e-01	6.308839e-02	5.468695e-02	3.000000e-02	5.000000e-02	8.000000e-02	9.339695e-02	1.120410e-01	5.000000e-02	7.000000e-02	9.000000e-02
u	3864	1.878932e-03	2.587992e-04	3.416149e-02	9.655797e-01	6.732919e-02	3.824383e-02	4.000000e-02	5.000000e-02	8.000000e-02	1.400000e-01	0.000000e+00	1.400000e-01	1.400000e-01	1.400000e-01	7.113636e-02	6.080124e-02	4.000000e-02	4.500000e-02	7.000000e-02	6.717502e-02	3.718811e-02	4.000000e-02	5.000000e-02	8.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
v	61981	3.013926e-02	7.226731e-01	3.226795e-04	2.653232e-01	5.110800e-02	2.903459e-02	3.000000e-02	4.000000e-02	6.000000e-02	5.040722e-02	3.102412e-02	3.000000e-02	4.000000e-02	6.000000e-02	6.900000e-02	3.891962e-02	4.500000e-02	6.000000e-02	9.000000e-02	5.295227e-02	2.166894e-02	4.000000e-02	5.000000e-02	6.000000e-02	5.207873e-02	4.245975e-02	3.000000e-02	4.000000e-02	6.000000e-02
x	26076	1.267988e-02	6.902899e-04	5.876668e-01	4.111060e-01	9.077257e-02	9.618607e-02	5.000000e-02	7.000000e-02	1.000000e-01	2.450000e-01	3.732410e-01	3.250000e-02	7.000000e-02	1.150000e-01	8.915462e-02	1.030352e-01	4.000000e-02	6.000000e-02	9.000000e-02	9.271177e-02	8.370896e-02	6.000000e-02	9.000000e-02	1.100000e-01	1.785714e-01	1.905703e-01	4.500000e-02	9.500000e-02	2.375000e-01
y	441	2.144434e-04	0.000000e+00	7.278912e-01	2.721088e-01	1.060884e-01	6.641600e-02	5.000000e-02	9.000000e-02	1.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.240031e-01	6.812858e-02	7.000000e-02	1.100000e-01	1.600000e-01	5.816667e-02	2.543680e-02	4.000000e-02	5.000000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
z	42184	2.051265e-02	6.001565e-01	2.967950e-02	3.563673e-01	6.847015e-02	3.347013e-02	4.000000e-02	6.000000e-02	9.000000e-02	6.909389e-02	3.473560e-02	4.000000e-02	6.000000e-02	9.000000e-02	7.736422e-02	4.042393e-02	5.000000e-02	7.000000e-02	9.000000e-02	6.704184e-02	3.001280e-02	4.000000e-02	6.000000e-02	8.000000e-02	5.909794e-02	4.011390e-02	3.000000e-02	5.000000e-02	7.000000e-02
OY6	87	4.230515e-05	0.000000e+00	6.091954e-01	3.908046e-01	2.695409e-01	1.746145e-01	2.000000e-01	2.400000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.020767e-01	2.128129e-01	2.200000e-01	2.700000e-01	3.200000e-01	2.188235e-01	6.118847e-02	1.800000e-01	2.150000e-01	2.475000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
aI6	411	1.998554e-04	0.000000e+00	5.863747e-01	4.111922e-01	2.800373e-01	1.236252e-01	2.100000e-01	2.500000e-01	3.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.227191e-01	1.390518e-01	2.400000e-01	3.200000e-01	3.800000e-01	2.172189e-01	4.944892e-02	1.800000e-01	2.200000e-01	2.500000e-01	6.100000e-01	0.000000e+00	6.100000e-01	6.100000e-01	6.100000e-01
